ID	ProjectDescription	CandidateDescription	Preference
107	"Today margin reporting has become a critical tool to evaluate the health and profitability of the Consulting business. Analysis is done at the resource, deal, customer, regional and portfolio levels to support business requirements. However the current process to manufacture this reporting requires manual intervention to address gaps/ obstacles with the source data set. A repeatable process has been stood up to import data, address/ triage issues, and produce reporting each week. However a project is required to complete 3 critical workstreams:Transition current state Booked Margin reporting process & workload from onshore to offshore (Bratislava, Slovakia) resources.Transition to alternate data set provided by IT/ Business Intelligence (involves testing, user acceptance and integration- ending the need for manual intervention activity).Upgrade reporting deliverable from multi-tab Excel file to a more dynamic tool with lookup, drill-down capabilities."	"Rdbu Market Research LeadResume Examples & Samples 50% - Commercial Insight team partner- Leading projects to deliver high quality, actionable business insights to commercial leadership. Act as a partner with forecasting and Insights lead; effectively lead external resources when needed to design and deliver market research projects to support and grow the BU portfolio; partnering with other Commercial COE and commercial functions 40% - Brand team strategy development- Commercial strategy in support of new product opportunities. Conduct appropriate research and insights to help guide investment resourcing and early positioning of opportunities and on-going product support 10% - Serve on multi-disciplinary teams to provide holistic business analysis from national to subnational market trends"	N
108	We want to build a campaign around product pre-launch / market space awareness leading into a launch of a new product. Q1 2019 market tease... Q2 2019 market launch. digital presence / install base campaign / targeted society and social media presence.	"Market Research Senior ManagerResume Examples & Samples Participate in special cross-functional teams requiring consumer research information Identify research needs of our internal clients and determine the most effective and efficient way to meet these needs Analyze results, provide recommended actions, and assess implications of research findings Effectively communicate to management and clients via presentations, reports and proposals Build marketing research plans based on marketing objectives Manage activities of multiple suppliers towards the accomplishment of meaningful and timely results within the budget Eight to ten years overall market research experience (both qualitative and quantitative research) with at least some of this time in a digital agency and/or traditional market research vendor environment Bachelor's Degree required. MBA or Master's Degree in Marketing Research a plus Knowledge of digital research methodologies (live intercept, panel, et al) and platforms, including mobile Familiarity with research vendors and capabilities, especially digital research vendors and experience with leading syndicated resources Proven track record in driving insight to action and thinking strategically about business issues Strong project management; Must have demonstrated ability to manage multiple market research projects at the same time, worked closely with multiple internal clients and be results oriented Must have the ability and drive to work in an intense, fast paced environment Superior written and verbal communication skills are essential and competency in advanced research methods, processes, tools, design and techniques including sample criteria, quotas, weighting; Tools include Excel, PowerPoint, SPSS Financial services experience not required Position requires up to 20% travel"	Y
109	"We are the $500mm dollar Ingredient business within our Food Service group. We are looking for an ex Boston Consulting Group, McKinsey, or Bain Consumer Package Goods consultant to do a strategy project for our business.We believe there are significant growth opportunities and we need a consultant to perform a diagnostic and help us put a plan in place to double our business."	"Master degree in relevant discipline Lean/Six Sigma certification from recognized provider Proven ability to manage change and to work together with different levels throughout the organization Proven analytical, communication and interpersonal skills Persuasive powers and proven training skills Proven consulting skills"	Y
110	"Develop lightweight early financial model for a startup venture. The model is for SaaS, or software licensing. The goal is to help the founder understand unit economics, and basic cost, revenue, and growth drivers of the business in the first 3 years, and make a decision about partnership opportunities. This is not a heavy model build."	Finance & Accounting ManagerResume Examples & Samples Conduct primary research design in the Pharmaceutical Industry Sales Forecast & Product Evaluation Hands on Competitor Analysis and reporting it to stake holders on its impact Provide value added analysis Critical and Logical thinking Fact base analysis Business Intelligence unit experience Age between 30 to 40 Experienced in international company Business English	Y
111	Multinational company in Indonesia is looking for an expert to manage protect network to launch a new personal care product. Scope: Maintain project network by assisting R&D Manager to ensure products are delivered on time with quality as expectedand comply to the local regulations and basic company mandatory policyLead technical discussionsbetween company and third party to ensure smooth development process until production.KPI: Products launch OTIF as agreed withthe stakeholders	"Market Research FellowshipResume Examples & Samples Coordinate with external research vendors to manage all aspects of research projects including sample programming, testing, data processing, and invoicing Manage communication between brand research team, external vendors and internal clients Track and organize data and metrics for the brand research team Participate in team meetings"	N
112	"We are currently undergoing a refresh of our customer segmentation and looking at how to go-to-market. As part of this, we've built a core team of sales, marketing, IT, and finance employees for a business process program.We are looking for project/program management expertise for this team to help us build out our program plan and implement it. We need a candidate with systems expertise to help us understand how to reflect our new customer segments in Salesforce and operationalize our new process flow in our systems and data flows.Ideal candidates:Experience in sales and marketing strategy and process management. Client Segmentation preferredExperience in program management requiredSystems knowledge (Salesforce) requiredExperience with systems process implementationA blend of program management and business analyst experience requiredLocation in Austin, TX preferred"	"Market Research Lead, OphthalmicsResume Examples & Samples 50%: Market Research Project execution - Leading projects to deliver high quality, actionable business insights to Ophthalmics Business Unit. Serve as an Ophthalmics subject matter expert to partner and effectively lead external resources when needed to design and deliver market research projects to support and grow the BU portfolio. Collaborate with Marketing Leaders to ensure effective alignment of research to the brand objectives and provide strategic guidance to enhance and improve Market Research plans 30%: Brand team strategy development- Commercial strategy in support of new product commercial preparedness. Conduct appropriate research and insights to help guide investment resourcing and early positioning of product and on-going product support 20%: Point of contact for BU in participating and representing all GCO activities in cross-functional meetings, annual budget review process and product strategy team meetings and events"	N
113	"We are a consulting firm looking for a junior strategy consultant to helptackle a Government Urban Planning/City Strategy Initiative.Target Candidate:-Must have top-tier consulting background (Bain, BCG, McKinsey)-Ideally based on the East CoastAdditional Project details:-Duration: 20 week project week duration-Travel to a major east coast city 4 days / 3 nights perweek"	"Sound working knowledge and experience using and applying process improvement best practices/techniques, lean six sigma and project management skills in a structured project environment Demonstrated experience modeling business processes using a variety of tools and techniques Ability to work with little or no direction in environments resistant to change or unable to change quickly Exceptional communication skills and the ability to communicate and present appropriately at all levels of the organization through written and verbal methods Excellent influence management skills Ability to work across multiple, distributed, silo’d, functional groups Strong enterprise-wide vision, seeing the big picture, recognizing critical details and dealing with ambiguity Aptitude for understanding organization operations and culture Strong proficiency in Microsoft Office and software applications involving dynamic models and process flows Proven ability to effectively facilitate a training session, one on one, or with a group"	Y
114	"A portfolio company at a CPG organization is looking for a regulatory expert to provide the team new knowledge that will accelerate their learning in understanding the regulatory space.The ideal individual will have a background in safety, toxicology, consumer affairs or complaints handling. The individual should have relevant experience in the dietary supplement, OTC drugs, cleaning products with knowledge in EPA and CPSC regulations. An understanding of regulations in the US and International (specifically Korea and Argentina) is helpful as well.Phase 1 will be a half day commitment (4-8 hours), with an opportunity to extend the engagement depending on Phase 1's output."	"Market Research Senior ManagerResume Examples & Samples Participate in special cross-functional teams requiring consumer research information Identify research needs of our internal clients and determine the most effective and efficient way to meet these needs Analyze results, provide recommended actions, and assess implications of research findings Effectively communicate to management and clients via presentations, reports and proposals Build marketing research plans based on marketing objectives Manage activities of multiple suppliers towards the accomplishment of meaningful and timely results within the budget Eight to ten years overall market research experience (both qualitative and quantitative research) with at least some of this time in a digital agency and/or traditional market research vendor environment Bachelor's Degree required. MBA or Master's Degree in Marketing Research a plus Knowledge of digital research methodologies (live intercept, panel, et al) and platforms, including mobile Familiarity with research vendors and capabilities, especially digital research vendors and experience with leading syndicated resources Proven track record in driving insight to action and thinking strategically about business issues Strong project management; Must have demonstrated ability to manage multiple market research projects at the same time, worked closely with multiple internal clients and be results oriented Must have the ability and drive to work in an intense, fast paced environment Superior written and verbal communication skills are essential and competency in advanced research methods, processes, tools, design and techniques including sample criteria, quotas, weighting; Tools include Excel, PowerPoint, SPSS Financial services experience not required Position requires up to 20% travel"	N
115	"We are a global research and consulting firm in need of a CyberSecurity Specialist to support a security strategy for one of our clients.General characteristics:This role is typically engaged as the highest-level technologyexpert on a project team. Partners with business analysts, systems analysts andengineers in requirements gathering and reviews. Responsible for analyzing andtranslating business, information and technical requirements into anarchitectural blueprint that outlines solutions to achieve business/securityobjectives. Works with enterprise architecture, application and infrastructureteams to produce an optimal, high level, conceptual design for the referencearchitecture.Develops enterprise level solutions that integrate acrossapplications, systems and platforms. Proposes changes in process, policy andstandards as they relate to the architecture and design principles. Researchesand maintains knowledge in emerging technologies and solutions to solvebusiness problems. Viewed as a technical expert and critical resource acrossmultiple disciplines.Education:BachelorÕs or MasterÕs Degree in Computer Science, InformationSystems, or other related field. Or equivalent work experience.Experience:Typically has 7 to 10 years of experience in multiple IT areasand 2 to 3 years of relevant architecture and project management experience.Requires advanced to expert level knowledge and understanding of architecture,application design, systems engineering and integration.Complexity:Expert/lead technical role. Typically works on IT projects as aproject leader. Works on projects/issues of high complexity that require in-depthknowledge across multiple technical areas and business segments. Coaches andmentors more junior technical staff."	"Market Research, Employee Fixed TermResume Examples & Samples All business marketing functions, digital marketing, creative services, events, media buying and advertising, as well as all regional marketing teams under the Global Chief Marketing Officer (CMO) All internal and external communications, media relations and public relations efforts of BlackRock under the Head of Global Corporate Communications Business management, analytics and research functions for the GMC organization under the Global Chief Operating Officer (COO) All brand initiatives and strategic messaging under the Head of Global Brand and the Head of Strategic Messaging Estimate minimum 6-8 years market research experience A “Can-do” attitude and a willingness to learn and succeed Financial services experience helpful but not essential Some knowledge of B2B research preferred Strong project management, organisational, planning and time management skills; ability to manage multiple deadlines Excellent written and verbal communication skills a must Experience dealing with both qualitative and quantitative datasets Proven ability of being able to articulate complex points clearly and concisely Proven ability of being able to tie research findings back to strategic business objectives Motivated with natural curiosity and a willingness to be flexible Capacity to work effectively and efficiently in a fast-paced and dynamic environment Some knowledge of statistical techniques preferable, e.g. regression analysis"	N
116	"I have a new company Ive started within my homebuilding company, focusing on less is more, sustainability and have the solution for the future of homebuilding. I have 1200 plus homes in this new categories pipeline I want to create a value, and be ready when someone approaches me to acquire the company."	"Supports the assessment, design, and delivery of enterprise-wide process improvement initiatives spanning multiple Business Lines / Functions Conducts project planning, data collection/analysis/synthesis, SME interviews, process mapping, gap analyses, and solution development Evaluates improvement opportunities and helps define solutions to reduce complexity, improve customer experience, increase productivity, and reduce costs Formulates recommendations and implementation plans"	Y
117	"Rhynland LLC, a start-up financial advisory and project development firm focused on the power, renewables and battery storage areas, is looking for a part-time or full-time associate who can help with investment banking and PE-type work including:Modeling of power, renewable and battery storage projectsConducting industry and project researchDrafting and reviewing client presentationsIf possible, reviewing project agreements (e.g. PPAs, EPC contracts, etc.) and financing agreements (e.g. debt and equity term sheets, etc.)Requirements1 to 5 years of investment banking, private equity or project finance experienceEnergy, power and/or infrastructure project modeling experienceDemonstrated interested in power and renewablesAbout Rhynland LLCRhynland was founded by Patrick Verdonck who spent 10 years with Starwood Capital's energy unit investing in power and energy projects.Current projects include:Development:45 MW storage project in Ontario, Canada.15 MW storage and solar project in New York stateAdvisory:Raising debt for a $275mm waste-to-energy project in New York stateAdvising a developer on financing options for a 1GW solar project in ERCOTAdvising an IPP on developing utility-scale storage projects in California"	"Finance & Accounting ManagerResume Examples & Samples To oversee the maintenance of the Account Receivable sub-ledgers in creating new debtors’ codes or updating credit limits The safeguard of all hotel cash and bank assets: to certify all monthly bank and credit card reconciliation, to ensure that all daily cash and cheque collection are duly verified and banked-in intact on a daily basis To oversee and ensure the smooth running of the overall Cost Control functions, in particular The actual record and safeguard of all stocks of the hotel with all variances being justified and corrected To oversee and ensure the smooth running of the purchasing functions, in particular that all procurement of goods and services are done in accordance with the hotel policies and procedures The accuracy of the payroll calculation and payment to employees The strict respect of country tax legislation (preparation and filing of all tax matters ) To oversee all legal and tax matters related to the hotel in liaison with consultants and local"	Y
118	We are an IT services organization and a platinum partner to Salesforce. We are seeking a partner marketing skill set to provide a quick hit optimization of our visibility within the Salesforce partner directory and to sales & marketing teams at Salesforce. Ideal candidate will have a background in marketing and experience working in the Salesforce partnerships ecosystem and managing company credentials in their partner directory.	"Market Research, Employee Fixed TermResume Examples & Samples All business marketing functions, digital marketing, creative services, events, media buying and advertising, as well as all regional marketing teams under the Global Chief Marketing Officer (CMO) All internal and external communications, media relations and public relations efforts of BlackRock under the Head of Global Corporate Communications Business management, analytics and research functions for the GMC organization under the Global Chief Operating Officer (COO) All brand initiatives and strategic messaging under the Head of Global Brand and the Head of Strategic Messaging Estimate minimum 6-8 years market research experience A “Can-do” attitude and a willingness to learn and succeed Financial services experience helpful but not essential Some knowledge of B2B research preferred Strong project management, organisational, planning and time management skills; ability to manage multiple deadlines Excellent written and verbal communication skills a must Experience dealing with both qualitative and quantitative datasets Proven ability of being able to articulate complex points clearly and concisely Proven ability of being able to tie research findings back to strategic business objectives Motivated with natural curiosity and a willingness to be flexible Capacity to work effectively and efficiently in a fast-paced and dynamic environment Some knowledge of statistical techniques preferable, e.g. regression analysis"	Y
119	"We are a global consulting and IT services firm in need of a former management consultant with energy and utilities experience and a consultant toolkit, located in ArizonaCity, AZ. This person will act as a member of our consulting team and workclosely with the engagement manager. We anticipate the engagement will last for2-3 months. Responsibilitiesinclude:á Management for Smart Meter Provisioning based onUtility Customer DSM/Renewables programá Provide excellent utility domain expertise andknowledge in preparing business roadmap and program executioná Provide business architect services for businesstransformation projects in multiple utility domainsá Conduct process gap analysis and design businessprocesses related to various utility business areas such as Smart Metering,M2C, customer service, asset management, distribution and emerging businessmodelsá Provide business analyst services to interpretcustomer business needs and translate them into application and operationalrequirementsá Conduct Requirement Gathering Workshops, anddocument requirements and functional detailsá Liaise with vendor/technical support team ifproduct/application specific issues are encounteredá Manage change requests for requirement andfunctionalities along with client SMEsá Perform user acceptance testing when required bythe client"	"Director of Market ResearchResume Examples & SamplesWork with business partners identify research needs and opportunities to set research objectivesDesign and execute the loyalty tracking studyIntegrate results from statistical analysis of the Loyalty study findings with business metrics and customer behaviorsDevelop insights and actionable recommendations and communicate findings through reports and presentations to managementManage offshore staff in support of ongoing study management and reportingManage a budget of between $1.0-1.2M in research costs7 to 10+ years of related marketing, consulting or market research experience with a college degree (Master's Degree preferred)Experience with loyalty and tracking research studies is requiredExperience with identifying the business implications from primary customer research/data analysisExperience with statistical analysis, text mining, and analyzing survey data with database informationExperience in financial services business preferredExcellent organizational, project management and process management skillsExcellent analytical skills, as demonstrated by a track record of thought leadership and problem solving activitiesExcellent oral communications, writing and presentation skills, has a deep interest in developing insights and recommendations for senior managementStrong statistical software and PowerPoint aptitude"	N
120	"Project Overview & Objectives:The Human Motion & Control (HMC) business unit of a global leader in motion and control technologies, based in MacedoniaOH, is in the process of developing their third product called Indego Nomad. HMC has been in existencefor nearly 6 years and released the first product, the Indego exoskeleton, in late 2015 marketed toneuro-rehabilitation clinics for gait training and to severely impaired paraplegics for use in their homeand community. The Indego Nomad product istargeted to a much larger and varied population than the original Indego Personal, it will have a muchmore demanding usage case and will be fitted by a well established channel of Orthotics & Prostheticsclinical practices. As such, HMC business and engineering leadership would like to ensure that IndegoNomad reliability and durability in the field exceeds the expectations and usage of all clinicians, endusers/patients and payers. HMC would like to engage a durability/reliability expert to act as anindependent reviewer of the analyses, design and methods the HMC team employ to ensure thedurability/reliability of the Indego Nomad device. The expert would also provide recommendations onhow to improve analysis, design, testing, and operations of the product in order to optimize durabilityand reliability. The key activities and deliverables of the product reliability/durability advisory support are as follows: 1. Familiarization with Indego Nomad product concept, marketing requirements, specifications anddevelopment completed thus far. This will include communications with our marketing andclinical team to understand the targeted populations (spinal cord injury, multiple sclerosis,stroke, etc.) and their variability/heterogeneity in terms of device performance requirements. This phase will also include communications with our engineering team to gain familiarization with the design of the physical device hardware and circuitry.2. Independent reliability review of the product design, including review of the product hardware, circuitry; applying prediction, estimation and apportionment methodologies; DFMEA review; planning and analysis of reliability testing and field failures, including mathematical/statistical modeling; human factors analysis; resulting in a report including: a. Summary of mathematical modeling; Design review findings and recommendations on how to improve the DFMEA and design changes to prevent failures in the field b. Identification of key technology and process risks c. Reliability-based Recommendations on how to mitigate identified key risks, through cycle and clinicaltesting, etc (including confidence interval vs. testing cost tradeoffs and options) 3. Independent review of Validation & Verification (V&V) plan, especially as it relates to durabilityand reliability, developed by the engineering team, and development of a report withrecommendations for improvement The timing of this independent product reliability/durability review will be determined by the overallIndego Nomad project development timeline (see attached). At this time, we expect the work to beginin February 2019 and end in June 2019. Ideal Expert We expect the ideal resource to undertake this work would have 10-20 years experience in design and reliability engineering of fairly complex, mission critical electromechanical systems preferably in theMedical Device industry.(experience in Aerospace or Automotive industries would also be acceptable). Ideally expert would be an ASQ Certified Reliability Engineer. During his/her career, this person would have led or contributed to numerousproduct releases and have evaluated addressed respective reliability and durability challenges. This person should be able to guide conversations related to failure prediction and the use of mathematical models and statistical tools to evaluate the nature and extent of reliability testing needed for the product under development.Beyond a strong technical background and hands-on experience, the ideal resource would be skillful inengaging with a sophisticated engineering team, to effectively investigate issues, develop actionablerecommendations, risk/cost options and tradeoffs and influence HMC business and engineeringleadership to take appropriate action. Stakeholders The primary stakeholder/client and economic buyer for the reliability/durability consultant would be theVice President and Head of the Human Motion business unit. The VP/Head HMC would expect periodicupdates of the work, findings, recommendations. On a day-to-day basis, the consultant would collaborate most frequently with the HMC EngineeringManager. The consultant will be given access to other engineering, marketing, clinical and operationsteam members to provide input as required. Logistics We will allow the consultant to organize their time so as to prepare fact based and convincing analysesand recommendations. We will only ask for a minimum of five face-to-face meetings with the Indegoteam, as follows, but it is up to the consultant to determine and schedule more on-site meetings ashe/she sees fit: ¥ Beginning February 2019: Kick off meeting; establishing shared understanding of key issues andapproach, information needs, access to key Indego team members and work plan ¥ Beginning March 2019: Update following familiarization; Plan for DFMEA review andtechnology/process risk assessment ¥ April 2019: Interim findings/report on reliability review and identification of key technology andprocess risks¥ End May 2019: Final report with findings, recommendations emanating from reliability review andkey technology and process risk assessment; Plan for Validation & Verification Plan review ¥ End June 2019: Final report with findings and recommendations stemming from review ofValidation & Verification plan We will allow the consultant to determine the amount of his/her time required to complete theassignment. Please refer to www.indego.com for more information."	"Market Research Senior ManagerResume Examples & Samples Mentors and manages a team of 3-4 researchers to become high performing team. Must have prior experience in managing analytic professionals and delegating task responsibilities Conducts primary research including writing requests for proposals, supplier selection and management, survey writing, interpretation and research reporting, makes methodological recommendations, and drafts survey questionnaires Creates analytical plan and determines which statistical methodologies are to be used while delegating project responsibilities to staff. Includes conducting statistical analyses when needed, including Cluster, Factor, Correspondence, Discriminant, and CHAID and has ability to communicate/ interpret the findings internally/ externally. Familiarity and proficiency statistical methods, applications is a must Creates thought-provoking insights that are relevant, strategic and actionable. Strong ability to create impactful stories through use of data-driven insights that use both creativity and analytical rigor is a must. Must also be confident and comfortable to presenting to C-level suite audience 6 + years consumer insights and analytics roles on vendor side, and client side experience also preferred 6 + years survey research design experience and training 6 + years using custom/ syndicated research in function with demonstrated ability to research deliver data-driven insights that answer or address specific business or customer questions 6+ years practical knowledge of statistical data and statistical approaches to analyzing data, market research methods, instruments, data sources, and suppliers, and how and where to gather new data, anticipates research and data needs, and develops marketing plans and research 4+ years’ experience in managing high-performing staff of researchers/ analytics Strong Experience with positioning, segmentation, brand personality, needstates, new product development Digital marketing experience a plus"	N
121	"A global pharmaceutical company is seeking a consultant to provide interim data analysis and project leadership support for large-scale corporate initiatives. The consultant will need to have expert Excel/modeling skills, and the ability to interpret big sets of data into presentation-ready models and information.The individual will support a global workforce analysis and integration workstreams. In addition to the analysis work, the consultant must be able review and ask the right questions about the data they are working with. The consultant must be able to manage complex projects and be a go-getter, with the ability to manage and work with multiple stakeholders within a large organization.Qualified candidates will have strong modeling/analysis skills from top-tier consulting or finance work. Consultants must be able to work onsite in the client's Chicago-area office.Ideally, work will begin by mid-December and last for 3-4+ months."	"Senior Manager, Corporate Market ResearchResume Examples & Samples Partnering with internal clients, utilizing audience data and trend analyses to inform, support and further enhance the Marketing, Programming and Development efforts of CENTRIC Developing unique and thorough analyses to positively position CENTRIC in the context of the competitive media landscape utilizing ratings research Managing various Custom Research projects using NMR data Supporting ongoing Ratings Estimates Modeling initiatives for CENTRIC Collaborating in the creation of market positioning, presentations and other materials that showcase the value of CENTRIC Downloading Nielsen ratings data daily Handling standard duties including Overnights, Daily, Weekly and Quarterly reports Working closely with members of the BETN Research team and CENTRIC staff on research decks, positioning statements and other ad hoc analysis needs Monitoring BETN key competitive influences and issue highlights Attending weekly CENTRIC meetings 1-2 years Empirical Modeling & Forecasting is essential; experience in Programming Research/ Market Research and Proven knowledge of media math and basic media terminology Proficiency in NMR databases (StarTrak, Galaxy Explorer, MarketBreaks, NPower) Proficiency in Microsoft Word, Excel and PowerPoint Detail-oriented, motivated to learn with the ability to work under pressure, handle multiple projects and meet deadlines Strong Ratings Analysis experience is a plus Excellent communication skills both written and oral, is essential Must be able to adapt to different work style and flexibility is key Strong interest in pop-culture, and African-American trends is ideal"	N
122	"We are a PE firm that has a portfolio company in the eCommerce CPG space located in San Antonio, TX. We are looking to have someone come in as an interim controller and help us ahead of a pending audit. The company is going to be hiring a full time controller in the near future, so there is a possibility that this could turn into a full time role if both parties are in agreement. This person will need to be on the ground in San Antonio working with the CFO. We are looking to get started ASAP."	"Finance Accounting ManagerResume Examples & Samples Approve account reconciliations, vendor invoices and journal entries Coordinate and manage allocation activity amongst multiple business units Review payroll, fixed assets activity and capital spending Analyze, report and forecast financial performance results Support initiatives to improve efficiency and effectiveness in the company’s digital business Ensure accurate invoicing and profitability analysis for centralized digital and group sales functions Oversee accounting for broadcast rights Prepare required quarterly and year-end financial reporting schedules Coordinate with internal and/or external auditors to ensure effective and efficient processes and compliance with all Sarbanes-Oxley requirements Support business unit finance leads with special projects, accounting research and process improvement initiatives Assist with the effective implementation and configuration of the company’s next generation financial systems Undergraduate in Accounting, CPA preferred along with 8-10 years of progressive experience in accounting and internal controls for a large company or significant division of a company Qualified candidate must be results-oriented, able to work in a team environment and possess excellent interpersonal skills in order to communicate across multiple operating units, corporate departments and other levels of management Must possess strong analytical and organizational skills with the ability to manage multiple tasks simultaneously and consistently meet tight deadlines, work efficiently with a sense of urgency, a high degree of accuracy and attention to detail Excellent ability to build trusting relationships and partnerships throughout the organization. Ability to define, implement and adhere to policies and procedures. Ability to work under strict deadlines. Excellent documentation and effective communication skills required Media industry experience is beneficial, but not required"	Y
123	"We are a private equity owned business in the SaaS industry, focused on Field Service Management Software. We are at a stage of hyper-growth, and are focusing on getting our back office processes aligned and efficiently suited to the size and continued growth of our organization.We are in the process of implementing a new ERP solution (Intacct). In parallel, we would like to focus on process re-engineering of our finance and accounting functions. We are seeking a hands-on consultant to augment our team as program manager and/or PMO resource for this ERP implementation and business process redesign to help drive the process forward and manage key stakeholders. Our ideal consultants have a background from the following firms: Deloitte, EY, PwC, KPMG or deep experience in the SaaS Industry with recurring revenue businesses.Key consultant qualifications:- Strong program management/project management skills. Strong attention to detail and ability to drive project forward. Would prefer to have someone who has project managed ERP or other back-end system implementations.- Experienced in process improvement particularly as it relates to both back-office (accounting, receivables, expense tracking/management, etc.) and data integration to front-end systems (CRM, etc.) to drive commercial sales & marketing operations- SaaS experience- Ability to work with key stakeholders across functions to get the most out of the ERP's functionality and drive process improvementConsultant will be expected to spend 60-70% of time onsite in Florida, and the remainder onsite in Atlanta. We would like to kick off the project by mid-November, and are targeting an ERP launch by end of March 2019."	"HBO Director, Market ResearchResume Examples & Samples Direct and oversee the qualitative and quantitative research efforts related to the areas of product development and marketing for HBO on Demand (OD) and MaxOD, HBO/Max GO, Affiliate needs and Target Marketing (i.e. Hispanic, AA, College, etc.) Consult with senior management across client groups to determine business priorities and goals Identify cross-departmental opportunities for developing and sharing research (including partnering with Audience Research, Sales Analysis, Digital Analytics)) and facilitate strategy development to work toward a more cohesive overall product and brand strategy Maintain regular communications with clients to ensure current needs are being addressed and to be able to anticipate future issues Ensure consumer and marketplace insights are applied to and leveraged in strategic planning to generate effective evolution of marketing initiatives and strategic innovation for the brand Lead the design and execution of all primary research for client groups Determine strategic objectives for each study Approve requests for proposals and research vendor selection Approve survey design and methodology (including target groups, sample size and survey specifications) Maintain awareness and understanding of existing research methodologies and look for innovative research techniques and analyses Provide leadership for improving the productivity and impact of marketing research tools, methods and processes Ensure quality, timeliness and actionability of research analyses and presentations including Interpreting research results with objectivity Communicating and presenting results to clients and senior management on a regular basis and offering strategic recommendations Manage budget lines related to HBO and Cinemax research to maximize cost effectiveness of research Contribute to departmental goal-setting and elevating the role of Market Research within the company Manage one direct report"	N
124	We are an M&A advisory firm and need some granular ROI modeling around lending to their Advisors to purchase practices and businesses.	"Finance / Accounting ManagerResume Examples & Samples Oversee the projections process, including integration into Humana’s long term planning model in 2015 and 2016 Coordinate review of statutory based tax calculations and process with Humana’s internal tax department Oversee CA reporting requirements and act as team liaison to internal audit group Bachelor’s Degree in Accounting, Finance or a related field Comprehensive knowledge of Microsoft Office applications, primarily Excel Five years progressive accounting experience Hyperion, and Oracle Business Suite experience desired Financial reporting experience desired"	Y
125	"I am looking for a business consultant with experience at a top 5 strategy consulting firm such as McKinsey, Bain, BCG OR experience in venture capital as an Analyst or Associate who has worked on fund raising presentations for high net worth individuals as investors or for investment firms such as family offices, private equity, and corporate venture arms. We are raising a Series B of $12M and have raw material on the company in the form of written documents on the company's business, technology, finances, and use of funds. We need someone who can efficiently articulate with illustrations/infographics/iconography as well as a really impressive investor deck for a global suite of investors. Industry experience in healthcare IT/digital health is important. Industry experience in data science, machine learning, AI is also important. Ours is a cancer informatics company or a machine learning based decision system in oncology. *We need someone who KNOWS WHAT GOES IN AN INVESTOR DECK!"	"Market Research LeadResume Examples & SamplesCreate & maintain CDI frameworkDefine and socialize the Customer Discovery and Innovation framework for Canada, in consultation with the NL team, Marketing team, Strategy & BD VP, Product team and the LNI & Global CDI teamEnsure all research efforts and CDI activity is shared and coordinated across Product/Content and GPS & DRIVE CDI and teams, LNC & interested stakeholdersEnsure results of the research is captured and understood by all stakeholdersInvest in people, culture & corporate responsibilityIncrease overall employee engagement scoreProgress Rule of Law & CARE initiative in CanadaSupport staff talent management & development – identify high potential, coach & ensure staff have clear development plansDeliver New Lexis for CanadaOn time completion of deliverables in accordance with the New Lexis Canada Project Plan managed by LNC PMOEffective collaborationProviding solid team leadershipEmbedding a customer-focus in the DNA of LexisNexis CanadaSound budget managementOversee / create a comprehensive set of imperative statements, personas (user & buyer), analysis and reports that help to inform market needs, aid strategic decision making, market commercialization and general direction for New LexisDegree in Marketing, Market Research or similar field5+ years working experience"	N
126	"We are the artwork and packaging engineering team of a global pharmaceutical company. A bottleneck area for our team is proofreading labels / packaging for printed components of our products. Our team is at capacity so we are looking to bring in a consultant for ~3 months to add bandwidth to our team and work on-site in the tri-state area.We will train the consultant on our process (artwork, inputs, comparisons, regulated copies etc.), but we expect a consultant to have experience as a proofreader for a pharma or consumer goods company. Given the industry, we deal with a lot of regulations, so the consultant should have a strong attention to detail, organizational skills, and project management skills.Consultant will be responsible for reading and examining proofs of labels, cartons, shelf trays, etc.; comparing artwork to vendor proofs; reviewing label text for drug facts, checked claims, and verified artwork corrections. The role is full time, but will consider less than full time (i.e. 20 hours / week)."	"Rdbu Market Research LeadResume Examples & Samples 50% - Commercial Insight team partner- Leading projects to deliver high quality, actionable business insights to commercial leadership. Act as a partner with forecasting and Insights lead; effectively lead external resources when needed to design and deliver market research projects to support and grow the BU portfolio; partnering with other Commercial COE and commercial functions 40% - Brand team strategy development- Commercial strategy in support of new product opportunities. Conduct appropriate research and insights to help guide investment resourcing and early positioning of opportunities and on-going product support 10% - Serve on multi-disciplinary teams to provide holistic business analysis from national to subnational market trends"	N
